Case_ID,agent_profile_id,Resource,machine_name,duration_seconds,Process Name,Window Title,URL,Window,Activity,Step,Window Element,mouse_click_count,keypress_count,copy_count,paste_count,Start Time,EndTime,team
1088,2ad10fe2-14e1-49e1-85df-dc74e33fd347,user52@apromore.com,LAPTOP1,0.193776345,msedge,Lightning Experience | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Contact/home,Salesforce,Status Waiting for Customer,Salesforce | Contacts,Salesforce | Contacts,0,0,0,0,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Sales - Field
1160,39a85f82-2dab-46f9-a974-f04c2fdc8e61,user93@apromore.com,LAPTOP3,5.95903164,chrome,Recently Viewed | Contacts | Salesforce - Google Chrome,https://apromore3-dev-ed.lightning.force.com/lightning/o/Contact/list?filterName=__Recent,Salesforce,Status On Hold,Salesforce | Contacts | Recently Viewed,Salesforce | Contacts | Recently Viewed,2,0,0,0,2025-06-11T19:06:29.887000,2025-06-11T19:06:35.776000,Sales - Enterprise
1128,b0bed196-ead8-4805-854a-bf5c745a794b,user15@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status In Progress,Microsoft Excel,A1,0,0,0,0,2025-06-11T12:32:06.625000,2025-06-11T12:32:06.625000,Sales - SMB
1277,978a61a0-20e1-4cbe-af63-643476c1ce66,user72@apromore.com,LAPTOP1,0.971142377,msedge,,https://apromore3-dev-ed.lightning.force.com/lightning/o/Account/list?filterName=__Recent,Salesforce,Status On Hold,Salesforce | Accounts,Salesforce | Accounts,1,0,0,0,2025-06-11T12:23:11.935000,2025-06-11T12:23:12.913000,Sales - Field
1079,9d0b21ef-8252-4711-99a5-40eeefe677fa,user61@apromore.com,LAPTOP2,2.039931273,chrome,Recent | Reports | Salesforce - Google Chrome,https://apromore3-dev-ed.lightning.force.com/lightning/o/Report/home?queryScope=mru,Salesforce,Status On Hold,Salesforce | Reports,Salesforce | Reports,1,0,0,0,2025-06-11T19:13:52.039000,2025-06-11T19:13:54.221000,Sales - APAC
1209,a93008ac-13eb-4e2f-add0-ce829be939ee,user21@apromore.com,LAPTOP1,0.211191381,msedge,Recently Viewed | Knowledge | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Dashboard/home,Salesforce,Status In Progress,Salesforce | Dashboards | Recently Viewed,Salesforce | Dashboards | Recently Viewed,0,0,0,0,2025-06-11T12:21:07.416000,2025-06-11T12:21:07.622000,Sales - SMB
1254,2c5c0482-4def-4376-8fa1-7842b5f77f3e,user83@apromore.com,LAPTOP1,0.200485305,msedge,Lightning Experience | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Contact/home,Salesforce,Status Waiting for Customer,Salesforce | Contacts,Salesforce | Contacts,0,0,0,0,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Marketing
1288,3cebf801-d9f5-47b6-835d-4a9f62395ac2,user87@apromore.com,LAPTOP1,22.86545245,msedge,00001176 | Case | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/r/Case/500J300000E5HehIAF/view,Salesforce,Created.,Salesforce | Case,Salesforce | Case,11,0,0,0,2025-06-11T12:23:41.586000,2025-06-11T12:24:04.509000,Sales - Field
1198,5a4d7e2b-b5c3-4048-a98c-228dff26324b,user75@apromore.com,LAPTOP2,0,chrome,Recently Viewed | Cases | Salesforce - Google Chrome,https://apromore3-dev-ed.lightning.force.com/lightning/o/Case/list?filterName=__Recent,Salesforce,Created.,Salesforce | Cases | Recently Viewed,Reports,0,0,0,0,2025-06-11T19:12:27.144000,2025-06-11T19:12:27.144000,Sales - AMER
1284,5a4d7e2b-b5c3-4048-a98c-228dff26324b,user75@apromore.com,LAPTOP1,16.200155,msedge,00001177 | Case | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/r/Case/500J300000E5JYMIA3/view,Salesforce,Status Waiting for Customer,Salesforce | Case,Salesforce | Case,8,0,0,0,2025-06-11T12:24:52.229000,2025-06-11T12:25:07.295000,Sales - APAC
