Case_ID,segment,seconds
1192,touch,210.306
1192,wait,136.6989
1196,touch,202.325
1196,wait,131.51125
1231,touch,189.45900000000003
1231,wait,123.14835000000002
1304,touch,177.29700000000003
1304,wait,115.24305000000003
1305,touch,805.319
1305,wait,523.45735
1306,touch,73.22200000000001
1306,wait,47.594300000000004
1307,touch,75.55000000000001
1307,wait,49.10750000000001
1308,touch,72.02099999999999
1308,wait,46.813649999999996
1309,touch,72.037
1309,wait,46.82405000000001
1310,touch,77.512
1310,wait,50.3828
1323,touch,105.29800000000002
1323,wait,68.4437
1328,touch,155.177
1328,wait,100.86505
1329,touch,224.279
1329,wait,145.78135
1330,touch,204.616
1330,wait,133.0004
1331,touch,168.86200000000002
1331,wait,109.76030000000002
1332,touch,176.70700000000002
1332,wait,114.85955000000001
1333,touch,170.039
1333,wait,110.52534999999999
1334,touch,168.918
1334,wait,109.7967
1335,touch,171.934
1335,wait,111.75710000000001
1336,touch,175.824
1336,wait,114.28560000000002
1337,touch,176.138
1337,wait,114.48970000000001
1338,touch,169.427
1338,wait,110.12755
1339,touch,169.666
1339,wait,110.2829
1340,touch,173.79299999999998
1340,wait,112.96544999999999
1341,touch,191.38
1341,wait,124.397
1342,touch,161.354
1342,wait,104.88010000000001
1343,touch,437.458
1343,wait,284.34770000000003
1344,touch,183.08700000000002
1344,wait,119.00655000000002
1345,touch,183.53900000000004
1345,wait,119.30035000000004
1346,touch,183.18699999999998
1346,wait,119.07154999999999
1347,touch,182.92200000000003
1347,wait,118.89930000000003
1348,touch,182.92499999999998
1348,wait,118.90124999999999
1349,touch,186.07099999999997
1349,wait,120.94614999999999
1351,touch,236.16800000000003
1351,wait,153.50920000000002
1352,touch,235.836
1352,wait,153.29340000000002
1353,touch,233.73699999999997
1353,wait,151.92905
1354,touch,234.851
1354,wait,152.65315
1355,touch,237.398
1355,wait,154.30870000000002
1356,touch,235.67499999999998
1356,wait,153.18875
1357,touch,4134.085000000001
1357,wait,2687.1552500000007
