Case_ID,Activity,duration_seconds,duration_min,Step
931,Status Working,0.0,0.0,Status Working
934,Status Escalated,2.297577809,0.03829296348333333,Status Escalated
934,Status In Progress,0.0,0.0,Status In Progress
935,Status Escalated,4.809510657000001,0.08015851095000001,Status Escalated
935,Status In Progress,0.0,0.0,Status In Progress
935,Status Response Received,0.0,0.0,Status Response Received
935,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
935,Status Working,0.655009611,0.01091682685,Status Working
936,Status Escalated,2.314717498,0.03857862496666666,Status Escalated
936,Status Response Received,0.0,0.0,Status Response Received
936,Status Working,0.0,0.0,Status Working
937,Status Escalated,108.4449425,1.8074157083333333,Status Escalated
937,Status In Progress,0.0,0.0,Status In Progress
937,Status Waiting for Customer,0.848363247,0.01413938745,Status Waiting for Customer
938,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
939,Status Escalated,0.0,0.0,Status Escalated
939,Status On Hold,0.0,0.0,Status On Hold
939,Status Response Received,0.0,0.0,Status Response Received
939,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
940,Status Response Received,0.0,0.0,Status Response Received
940,Status Waiting for Customer,0.935446618,0.015590776966666666,Status Waiting for Customer
941,Created.,3.043249523,0.050720825383333334,Created.
941,Status Escalated,124.6046266,2.0767437766666665,Status Escalated
941,Status In Progress,0.0,0.0,Status In Progress
941,Status Response Received,0.0,0.0,Status Response Received
941,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
942,Created.,3.118954878,0.0519825813,Created.
942,Status Response Received,0.0,0.0,Status Response Received
942,Status Waiting for Customer,0.944290601,0.015738176683333334,Status Waiting for Customer
943,Status Escalated,107.6717781,1.794529635,Status Escalated
943,Status In Progress,0.0,0.0,Status In Progress
943,Status Response Received,0.0,0.0,Status Response Received
943,Status Working,0.0,0.0,Status Working
944,Status In Progress,0.0,0.0,Status In Progress
944,Status Response Received,0.0,0.0,Status Response Received
945,Status In Progress,0.0,0.0,Status In Progress
945,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
947,Status On Hold,0.0,0.0,Status On Hold
947,Status Response Received,0.0,0.0,Status Response Received
947,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
948,Status Working,0.768280654,0.012804677566666667,Status Working
949,Status Escalated,0.0,0.0,Status Escalated
949,Status Response Received,0.0,0.0,Status Response Received
949,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
950,Status On Hold,0.0,0.0,Status On Hold
950,Status Response Received,0.0,0.0,Status Response Received
950,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
950,Status Working,0.0,0.0,Status Working
951,Created.,3.191919273,0.053198654549999995,Created.
951,Status In Progress,8.160480895,0.13600801491666664,Status In Progress
951,Status Response Received,0.0,0.0,Status Response Received
951,Status Waiting for Customer,0.817207884,0.0136201314,Status Waiting for Customer
952,Status In Progress,0.0,0.0,Status In Progress
952,Status On Hold,0.0,0.0,Status On Hold
952,Status Response Received,0.0,0.0,Status Response Received
953,Status Escalated,2.720943983,0.04534906638333334,Status Escalated
955,Created.,3.239014892,0.05398358153333334,Created.
955,Status In Progress,0.0,0.0,Status In Progress
955,Status Response Received,0.0,0.0,Status Response Received
956,Status Response Received,0.0,0.0,Status Response Received
957,Status Escalated,124.0183237,2.0669720616666667,Status Escalated
957,Status In Progress,0.0,0.0,Status In Progress
957,Status Response Received,0.0,0.0,Status Response Received
