Case_ID,Activity,Start_Time,EndTime,team
1088,Status Waiting for Customer,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Sales - Field
1160,Status On Hold,2025-06-11T19:06:29.887000,2025-06-11T19:06:35.776000,Sales - Enterprise
1128,Status In Progress,2025-06-11T12:32:06.625000,2025-06-11T12:32:06.625000,Sales - SMB
1277,Status On Hold,2025-06-11T12:23:11.935000,2025-06-11T12:23:12.913000,Sales - Field
1079,Status On Hold,2025-06-11T19:13:52.039000,2025-06-11T19:13:54.221000,Sales - APAC
1209,Status In Progress,2025-06-11T12:21:07.416000,2025-06-11T12:21:07.622000,Sales - SMB
1254,Status Waiting for Customer,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Marketing
1288,Created.,2025-06-11T12:23:41.586000,2025-06-11T12:24:04.509000,Sales - Field
1198,Created.,2025-06-11T19:12:27.144000,2025-06-11T19:12:27.144000,Sales - AMER
1284,Status Waiting for Customer,2025-06-11T12:24:52.229000,2025-06-11T12:25:07.295000,Sales - APAC
1212,Status Response Received,2025-06-11T12:24:09.831000,2025-06-11T12:24:10.035000,Sales - Field
1089,Status On Hold,2025-06-11T19:10:11.355000,2025-06-11T19:10:11.355000,Sales - APAC
1256,Status On Hold,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - APAC
1092,Status Escalated,2025-06-11T19:10:08.511000,2025-06-11T19:10:08.511000,Sales - SMB
1188,Created.,2025-06-11T19:05:11.872000,2025-06-11T19:05:27.937000,Sales - Enterprise
1292,Status Waiting for Customer,2025-06-11T19:11:09.068000,2025-06-11T19:11:09.068000,Sales - APAC
1091,Status Waiting for Customer,2025-06-11T19:13:55.086000,2025-06-11T19:13:55.995000,Sales - Online
1163,Status Response Received,2025-06-11T19:06:44.452000,2025-06-11T19:06:53.465000,Sales - SMB
1167,Status On Hold,2025-06-11T17:15:00.666000,2025-06-11T17:15:00.666000,Sales - AMER
1061,Status Waiting for Customer,2025-06-11T12:23:11.151000,2025-06-11T12:23:11.935000,Sales - Enterprise
1177,Status Response Received,2025-06-11T18:08:14.354000,2025-06-11T18:08:14.354000,Sales - Online
1062,Status Working,2025-06-11T17:15:37.994000,2025-06-11T17:15:37.994000,Sales - Online
1168,Status Escalated,2025-06-11T12:19:59.410000,2025-06-11T12:20:00.020000,Sales - AMER
1228,Status In Progress,2025-06-11T12:32:06.113000,2025-06-11T12:32:12.903000,Sales - Enterprise
1095,Created.,2025-06-11T17:15:40.092000,2025-06-11T17:15:40.092000,Sales - SMB
1272,Status On Hold,2025-06-11T19:13:53.979000,2025-06-11T19:13:53.979000,Sales - EMEA
1080,Status On Hold,2025-06-11T19:06:29.887000,2025-06-11T19:06:35.776000,Sales - Enterprise
1213,Status Waiting for Customer,2025-06-11T19:13:54.551000,2025-06-11T19:13:55.086000,Sales - AMER
1172,Status In Progress,2025-06-11T17:17:12.650000,2025-06-11T17:17:12.650000,Sales - Online
1232,Status Escalated,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000,Sales - SMB
1098,Status Working,2025-06-11T12:19:59.410000,2025-06-11T12:20:00.020000,Marketing
1161,Status Waiting for Customer,2025-06-11T18:07:42.556000,2025-06-11T18:07:42.556000,Sales - EMEA
1175,Status On Hold,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - EMEA
1122,Status Response Received,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - APAC
